Nome;Rodada;Custo;Tempo
a280;1;2579.0;150.282
a280;2;2579.0;150.268
a280;3;2579.0;150.082
a280;4;2579.0;149.98
a280;5;2579.0;150.06
ali535;1;202339.0;2653.14
ali535;2;202411.0;2658.183
ali535;3;202375.0;2651.65
ali535;4;202472.0;2651.625
ali535;5;202458.0;2651.384
att48;1;10628.0;0.471
att48;2;10628.0;0.471
att48;3;10628.0;0.471
att48;4;10628.0;0.472
att48;5;10628.0;0.471
att532;1;27746.0;2471.796
att532;2;27805.0;2471.95
att532;3;27736.0;2472.767
att532;4;27733.0;2471.618
att532;5;27743.0;2471.811
bays29;1;2020.0;0.085
bays29;2;2020.0;0.084
bays29;3;2020.0;0.084
bays29;4;2020.0;0.084
bays29;5;2020.0;0.084
bayg29;1;1610.0;0.085
bayg29;2;1610.0;0.082
bayg29;3;1610.0;0.082
bayg29;4;1610.0;0.083
bayg29;5;1610.0;0.083
berlin52;1;7542.0;0.544
berlin52;2;7542.0;0.545
berlin52;3;7542.0;0.545
berlin52;4;7542.0;0.545
berlin52;5;7542.0;0.544
brazil58;1;25395.0;0.713
brazil58;2;25395.0;0.71
brazil58;3;25395.0;0.711
brazil58;4;25395.0;0.713
brazil58;5;25395.0;0.709
bier127;1;118282.0;15.909
bier127;2;118282.0;15.924
bier127;3;118282.0;15.908
bier127;4;118282.0;15.912
bier127;5;118282.0;15.911
burma14;1;3323.0;0.013
burma14;2;3323.0;0.013
burma14;3;3323.0;0.013
burma14;4;3323.0;0.013
burma14;5;3323.0;0.014
ch130;1;6110.0;16.936
ch130;2;6110.0;16.925
ch130;3;6110.0;16.926
ch130;4;6110.0;16.929
ch130;5;6110.0;16.923
ch150;1;6533.0;15.528
ch150;2;6528.0;15.535
ch150;3;6528.0;15.536
ch150;4;6528.0;15.538
ch150;5;6528.0;15.53
d198;1;15781.0;48.435
d198;2;15781.0;48.423
d198;3;15795.0;48.435
d198;4;15780.0;48.412
d198;5;15790.0;48.431
d493;1;35012.0;1805.558
d493;2;35021.0;1805.5
d493;3;35002.0;1805.409
d493;4;35082.0;1805.419
d493;5;35018.0;1805.335
dantzig42;1;699.0;0.259
dantzig42;2;699.0;0.259
dantzig42;3;699.0;0.259
dantzig42;4;699.0;0.259
dantzig42;5;699.0;0.259
eil101;1;629.0;6.451
eil101;2;629.0;6.451
eil101;3;629.0;6.454
eil101;4;629.0;6.459
eil101;5;629.0;6.458
eil51;1;426.0;0.536
eil51;2;427.0;0.528
eil51;3;426.0;0.53
eil51;4;426.0;0.529
eil51;5;426.0;0.528
eil76;1;538.0;2.333
eil76;2;538.0;2.337
eil76;3;538.0;2.338
eil76;4;538.0;2.335
eil76;5;538.0;2.337
fl417;1;11861.0;630.478
fl417;2;11862.0;630.648
fl417;3;11861.0;630.871
fl417;4;11861.0;630.599
fl417;5;11861.0;630.687
fri26;1;937.0;0.058
fri26;2;937.0;0.057
fri26;3;937.0;0.057
fri26;4;937.0;0.057
fri26;5;937.0;0.057
gil262;1;2378.0;156.615
gil262;2;2380.0;156.711
gil262;3;2378.0;156.649
gil262;4;2378.0;156.597
gil262;5;2379.0;156.74
gr120;1;6942.0;13.091
gr120;2;6942.0;13.091
gr120;3;6942.0;13.093
gr120;4;6942.0;13.094
gr120;5;6942.0;13.092
gr137;1;69853.0;16.106
gr137;2;69853.0;16.1
gr137;3;69853.0;16.101
gr137;4;69853.0;16.096
gr137;5;69853.0;16.093
gr17;1;2085.0;0.013
gr17;2;2085.0;0.013
gr17;3;2085.0;0.014
gr17;4;2085.0;0.013
gr17;5;2085.0;0.014
gr202;1;40161.0;53.629
gr202;2;40160.0;53.672
gr202;3;40160.0;53.64
gr202;4;40160.0;53.645
gr202;5;40187.0;53.621
gr21;1;2707.0;0.022
gr21;2;2707.0;0.022
gr21;3;2707.0;0.022
gr21;4;2707.0;0.022
gr21;5;2707.0;0.023
gr229;1;134656.0;92.551
gr229;2;134602.0;92.57
gr229;3;134602.0;92.55
gr229;4;134843.0;92.545
gr229;5;134656.0;92.598
gr24;1;1272.0;0.039
gr24;2;1272.0;0.038
